ts	cause	analyzer_kind	analyzer_name	uid	fuid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	failure_reason	failure_data
1689697134.352319	violation	protocol	SSH	C18TzQ34KpX0A5GvR1	-	192.168.144.138	36696	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697134.379161	violation	protocol	SSH	C18TzQ34KpX0A5GvR1	-	192.168.144.138	36696	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697134.492349	violation	protocol	SSH	C18TzQ34KpX0A5GvR1	-	192.168.144.138	36696	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697134.664231	violation	protocol	SSH	C18TzQ34KpX0A5GvR1	-	192.168.144.138	36696	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697134.674537	violation	protocol	SSH	C18TzQ34KpX0A5GvR1	-	192.168.144.138	36696	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697134.686574	violation	protocol	SSH	C18TzQ34KpX0A5GvR1	-	192.168.144.138	36696	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697149.435406	violation	protocol	SSH	ChMuok3R5xnM7Zp9H4	-	192.168.144.138	49376	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697149.455670	violation	protocol	SSH	ChMuok3R5xnM7Zp9H4	-	192.168.144.138	49376	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697149.500042	violation	protocol	SSH	ChMuok3R5xnM7Zp9H4	-	192.168.144.138	49376	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697149.523433	violation	protocol	SSH	ChMuok3R5xnM7Zp9H4	-	192.168.144.138	49376	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697149.527406	violation	protocol	SSH	ChMuok3R5xnM7Zp9H4	-	192.168.144.138	49376	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697149.539362	violation	protocol	SSH	ChMuok3R5xnM7Zp9H4	-	192.168.144.138	49376	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697176.634612	violation	protocol	SSH	CdQDRD26lKcFXwfaN3	-	192.168.144.138	51110	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697176.699381	violation	protocol	SSH	CdQDRD26lKcFXwfaN3	-	192.168.144.138	51110	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697176.746890	violation	protocol	SSH	CdQDRD26lKcFXwfaN3	-	192.168.144.138	51110	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697176.774546	violation	protocol	SSH	CdQDRD26lKcFXwfaN3	-	192.168.144.138	51110	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697176.777035	violation	protocol	SSH	CdQDRD26lKcFXwfaN3	-	192.168.144.138	51110	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697176.790647	violation	protocol	SSH	CdQDRD26lKcFXwfaN3	-	192.168.144.138	51110	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697177.474975	violation	protocol	SSH	CoKgkn3oR7g8VOoFPe	-	192.168.144.138	51116	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697177.498711	violation	protocol	SSH	CoKgkn3oR7g8VOoFPe	-	192.168.144.138	51116	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697177.558851	violation	protocol	SSH	CoKgkn3oR7g8VOoFPe	-	192.168.144.138	51116	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697177.584238	violation	protocol	SSH	CoKgkn3oR7g8VOoFPe	-	192.168.144.138	51116	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697177.588475	violation	protocol	SSH	CoKgkn3oR7g8VOoFPe	-	192.168.144.138	51116	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697177.604742	violation	protocol	SSH	CoKgkn3oR7g8VOoFPe	-	192.168.144.138	51116	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697200.208583	violation	protocol	SSH	CrsPdBuEESTjLZKfk	-	192.168.144.138	56720	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697200.266602	violation	protocol	SSH	CrsPdBuEESTjLZKfk	-	192.168.144.138	56720	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697200.311347	violation	protocol	SSH	CrsPdBuEESTjLZKfk	-	192.168.144.138	56720	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697200.342581	violation	protocol	SSH	CrsPdBuEESTjLZKfk	-	192.168.144.138	56720	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1689697200.346541	violation	protocol	SSH	CrsPdBuEESTjLZKfk	-	192.168.144.138	56720	192.168.144.133	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
