ts	node	message
1689697049.014778	zeek-logger	listening on :27761/tcp
1689697053.146996	zeek-logger	got hello from zeek-manager (a2304994-a5f1-555f-93f1-7b84014a7858)
1689697053.146845	zeek-manager	got hello from zeek-logger (4a9dfce0-7a14-5cfa-8f95-dca0af768162)
1689697057.910455	zeek-logger	got hello from zeek-proxy (1aea25b6-9d4c-550c-8eb8-c42892978cd7)
1689697057.914592	zeek-proxy	got hello from zeek-manager (a2304994-a5f1-555f-93f1-7b84014a7858)
1689697057.908179	zeek-proxy	got hello from zeek-logger (4a9dfce0-7a14-5cfa-8f95-dca0af768162)
1689697057.914919	zeek-manager	got hello from zeek-proxy (1aea25b6-9d4c-550c-8eb8-c42892978cd7)
1689697065.130733	zeek-logger	got hello from zeek-worker (e4ae800a-b544-5ab0-a12f-5780321ed392)
1689697065.159632	zeek-proxy	got hello from zeek-worker (e4ae800a-b544-5ab0-a12f-5780321ed392)
1689697065.153368	zeek-manager	got hello from zeek-worker (e4ae800a-b544-5ab0-a12f-5780321ed392)
1689697065.154833	zeek-worker	got hello from zeek-manager (a2304994-a5f1-555f-93f1-7b84014a7858)
1689697065.159832	zeek-worker	got hello from zeek-proxy (1aea25b6-9d4c-550c-8eb8-c42892978cd7)
1689697065.131007	zeek-worker	got hello from zeek-logger (4a9dfce0-7a14-5cfa-8f95-dca0af768162)
1689697066.405285	zeek-logger	got hello from zeek-worker-lo (69fcd00a-1fb3-53ad-b8e8-a3b6efad347c)
1689697066.407131	zeek-proxy	got hello from zeek-worker-lo (69fcd00a-1fb3-53ad-b8e8-a3b6efad347c)
1689697066.435045	zeek-manager	got hello from zeek-worker-lo (69fcd00a-1fb3-53ad-b8e8-a3b6efad347c)
1689697066.400931	zeek-worker-lo	got hello from zeek-proxy (1aea25b6-9d4c-550c-8eb8-c42892978cd7)
1689697066.434572	zeek-worker-lo	got hello from zeek-manager (a2304994-a5f1-555f-93f1-7b84014a7858)
