ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
1689697066.191607	C6eKFu1RLkl4cPKcM5	192.168.144.138	43730	192.168.144.138	27762	tcp	-	-	-	-	OTH	T	T	0	CcCc	0	0	0	0	-
1689697066.227239	CrlhTS33gTIZCLIR6b	192.168.144.138	37800	192.168.144.138	27762	tcp	-	-	-	-	OTH	T	T	0	CccC	0	0	0	0	-
1689697066.276936	CRqKRN1nFlhLuCxRe	192.168.144.138	27761	192.168.144.138	52436	tcp	-	-	-	-	OTH	T	T	0	CccC	0	0	0	0	-
1689697066.277515	CUCaZK39f8V0OGsqLi	192.168.144.138	27763	192.168.144.138	48026	tcp	-	-	-	-	OTH	T	T	0	Ccc	0	0	0	0	-
1689697066.296828	CbV0Yh4WNuwf60L7Ej	192.168.144.138	27761	192.168.144.138	38920	tcp	-	-	-	-	OTH	T	T	0	CccC	0	0	0	0	-
1689697066.315778	C9afd82rDfZKeJKbof	192.168.144.138	27762	192.168.144.138	37804	tcp	-	-	-	-	OTH	T	T	0	CccC	0	0	0	0	-
1689697066.667703	CAOlmj41XNpCEqvRkk	192.168.144.138	38936	192.168.144.138	27761	tcp	-	-	-	-	OTH	T	T	0	Cc	0	0	0	0	-
1689697071.231615	CHyu8r11q5U1vjGlFb	192.168.144.138	43730	192.168.144.138	27762	tcp	-	-	-	-	OTH	T	T	0	CcCc	0	0	0	0	-
1689697071.248175	CiCRY82dfz0MsHngDl	192.168.144.138	37800	192.168.144.138	27762	tcp	-	-	-	-	OTH	T	T	0	CccC	0	0	0	0	-
1689697071.312951	CrVJIN2YKrF1vnKJal	192.168.144.138	27761	192.168.144.138	38920	tcp	-	-	-	-	OTH	T	T	0	CccC	0	0	0	0	-
1689697071.453117	CDQbagKlXO3NIt9eh	192.168.144.138	37804	192.168.144.138	27762	tcp	-	-	-	-	OTH	T	T	0	CcCc	0	0	0	0	-
1689697072.197076	CIMsEx2xBFQieLsvKf	192.168.144.138	52436	192.168.144.138	27761	tcp	-	-	-	-	OTH	T	T	0	Cc	0	0	0	0	-
1689697076.233738	CihtHt4WNCvBA6PVm2	192.168.144.138	43730	192.168.144.138	27762	tcp	-	-	-	-	OTH	T	T	0	CcCc	0	0	0	0	-
1689697076.260876	CMyXxX2byPIEB6oyKd	192.168.144.138	37800	192.168.144.138	27762	tcp	-	-	-	-	OTH	T	T	0	CccC	0	0	0	0	-
1689697076.335235	CrLInq3aVkr4HB1jYk	192.168.144.138	27761	192.168.144.138	38920	tcp	-	-	-	-	OTH	T	T	0	CccC	0	0	0	0	-
1689697076.468023	CarfOj1xz2MyLM08Oi	192.168.144.138	37804	192.168.144.138	27762	tcp	-	-	-	-	OTH	T	T	0	CcCc	0	0	0	0	-
1689697077.200043	C95EQS2y3ovZ9D0Gr	192.168.144.138	52436	192.168.144.138	27761	tcp	-	-	-	-	OTH	T	T	0	Cc	0	0	0	0	-
1689697081.231732	ChFsKd2vGxJKjNIAb7	192.168.144.138	43730	192.168.144.138	27762	tcp	-	-	-	-	OTH	T	T	0	CccC	0	0	0	0	-
