ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	trans_id	rtt	query	qclass	qclass_name	qtype	qtype_name	rcode	rcode_name	AA	TC	RD	RA	Z	answers	TTLs	rejected
1689697082.072563	CpddNq4Rmcfc5RUpAf	192.168.144.131	58386	192.168.144.2	53	udp	40230	0.015470	connectivity-check.ubuntu.com	1	C_INTERNET	28	AAAA	0	NOERROR	F	F	T	T	0	2001:67c:1562::24,2620:2d:4000:1::2a,2620:2d:4000:1::23,2620:2d:4000:1::2b,2001:67c:1562::23,2620:2d:4000:1::22	5.000000,5.000000,5.000000,5.000000,5.000000,5.000000	F
1689697083.101801	CfhbDS1IgQdFVfZCyb	192.168.144.131	5353	224.0.0.251	5353	udp	0	-	_ipp._tcp.local	1	C_INTERNET	12	PTR	-	-	F	F	F	F	0	-	-	F
1689697083.101801	CRdQJq3Pz3rxREmWNe	fe80::6e5a:a5f9:e3f2:6205	5353	ff02::fb	5353	udp	0	-	_ipp._tcp.local	1	C_INTERNET	12	PTR	-	-	F	F	F	F	0	-	-	F
1689697146.324635	CawkJk1oVEDrx4kNMi	192.168.144.131	57363	192.168.144.2	53	udp	3244	0.289952	connectivity-check.ubuntu.com	1	C_INTERNET	28	AAAA	0	NOERROR	F	F	T	T	0	2001:67c:1562::23,2620:2d:4000:1::2b,2620:2d:4000:1::23,2620:2d:4000:1::22,2001:67c:1562::24,2620:2d:4000:1::2a	5.000000,5.000000,5.000000,5.000000,5.000000,5.000000	F
1689697152.699514	CxGTCD1HAbrukyORog	192.168.144.133	41567	192.168.144.2	53	udp	62707	0.007082	connectivity-check.ubuntu.com	1	C_INTERNET	28	AAAA	0	NOERROR	F	F	T	T	0	2001:67c:1562::23,2620:2d:4000:1::2b,2620:2d:4000:1::23,2620:2d:4000:1::22,2001:67c:1562::24,2620:2d:4000:1::2a	5.000000,5.000000,5.000000,5.000000,5.000000,5.000000	F
1689697147.326579	C8Y3Oq1ED10fAB9vaa	fe80::6e5a:a5f9:e3f2:6205	5353	ff02::fb	5353	udp	0	-	_ipp._tcp.local	1	C_INTERNET	12	PTR	-	-	F	F	F	F	0	-	-	F
1689697147.326580	CXFAJ223EEMUxKDok5	192.168.144.131	5353	224.0.0.251	5353	udp	0	-	_ipp._tcp.local	1	C_INTERNET	12	PTR	-	-	F	F	F	F	0	-	-	F
1689697189.769507	CAwIOZ28FyWTnG3U9j	192.168.144.133	37603	192.168.144.2	53	udp	19060	0.005181	connectivity-check.ubuntu.com	1	C_INTERNET	28	AAAA	0	NOERROR	F	F	T	T	0	2001:67c:1562::23,2620:2d:4000:1::2b,2620:2d:4000:1::23,2620:2d:4000:1::22,2001:67c:1562::24,2620:2d:4000:1::2a	5.000000,5.000000,5.000000,5.000000,5.000000,5.000000	F
1689697190.771172	Cuxi2J3EFd5AjSJqF8	fe80::7af8:9868:f95:c928	5353	ff02::fb	5353	udp	0	-	_ipp._tcp.local	1	C_INTERNET	12	PTR	-	-	F	F	F	F	0	-	-	F
1689697190.794789	CrwwA02KBrFSE5HIL4	192.168.144.133	5353	224.0.0.251	5353	udp	0	-	_ipp._tcp.local	1	C_INTERNET	12	PTR	-	-	F	F	F	F	0	-	-	F
1689697210.486861	CZXd8P3LF3JLstiESh	192.168.144.131	53630	192.168.144.2	53	udp	41438	-	133.144.168.192.in-addr.arpa	1	C_INTERNET	12	PTR	3	NXDOMAIN	F	F	T	F	0	-	-	F
1689697205.595617	CDW2Wo4VOGrowSXkKg	192.168.144.138	56616	192.168.144.2	53	udp	64493	-	az764295.vo.msecnd.net	-	-	-	-	0	NOERROR	F	F	F	T	0	cs22.wpc.v0cdn.net,152.199.19.160	5.000000,5.000000	F
1689697228.056754	Cdod292HxDyv7joZQk	192.168.144.131	54100	192.168.144.2	53	udp	41446	0.441910	api.snapcraft.io	1	C_INTERNET	1	A	0	NOERROR	F	F	T	T	0	185.125.188.58,185.125.188.59,185.125.188.54,185.125.188.55	5.000000,5.000000,5.000000,5.000000	F
