ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
1689697085.539688	CxDZDl3J9mnNfTJmKd	192.168.144.138	54592	152.199.19.160	443	bad_TCP_checksum	-	F	zeek-worker	TCP
1689697134.127887	CRNBxT3ODSFFa0Refj	192.168.144.138	36696	192.168.144.133	22	active_connection_reuse	-	F	zeek-worker	TCP
1689697140.968942	CRBokq1DC2hx9XgxWf	192.168.144.133	37492	192.168.144.138	22	bad_TCP_checksum	-	F	zeek-worker	TCP
1689697140.975305	CRBokq1DC2hx9XgxWf	192.168.144.133	37492	192.168.144.138	22	data_before_established	-	F	zeek-worker	TCP
1689697143.828281	CRBokq1DC2hx9XgxWf	192.168.144.133	37492	192.168.144.138	22	truncated_tcp_payload	-	F	zeek-worker	TCP
1689697143.839913	CRBokq1DC2hx9XgxWf	192.168.144.133	37492	192.168.144.138	22	above_hole_data_without_any_acks	-	F	zeek-worker	TCP
1689697144.476917	CRBokq1DC2hx9XgxWf	192.168.144.133	37492	192.168.144.138	22	inappropriate_FIN	-	F	zeek-worker	TCP
1689697149.182993	CmPFEQ24JVWNGYfTqg	192.168.144.138	40714	192.168.144.133	9000	active_connection_reuse	-	F	zeek-worker	TCP
1689697149.182993	CArtxD1XDLDOVe8BZa	192.168.144.133	9000	192.168.144.138	40714	connection_originator_SYN_ack	-	F	zeek-worker	TCP
1689697149.254556	CArtxD1XDLDOVe8BZa	192.168.144.133	9000	192.168.144.138	40714	data_before_established	-	F	zeek-worker	TCP
1689697149.402633	CI5UwC35EOxA05bxIg	192.168.144.138	49376	192.168.144.133	22	active_connection_reuse	-	F	zeek-worker	TCP
1689697176.604681	CTlxUvgXv8r7tVBQf	192.168.144.138	51110	192.168.144.133	22	active_connection_reuse	-	F	zeek-worker	TCP
1689697176.554520	CJAyNF2a0NgCcraaW3	127.0.0.1	60922	127.0.0.1	5001	bad_TCP_checksum	-	F	zeek-worker-lo	TCP
1689697176.555253	CJAyNF2a0NgCcraaW3	127.0.0.1	60922	127.0.0.1	5001	active_connection_reuse	-	F	zeek-worker-lo	TCP
1689697177.400257	CaBuERfTR3bAXy2R3	192.168.144.138	51116	192.168.144.133	22	active_connection_reuse	-	F	zeek-worker	TCP
1689697196.967698	C3MuxggZv93zhgGxl	fe80::515d:15e0:f7f:e371	5353	ff02::fb	5353	bad_UDP_checksum	-	F	zeek-worker	UDP
1689697197.020208	C082oe2KtosAHmauN8	192.168.144.138	5353	224.0.0.251	5353	bad_UDP_checksum	-	F	zeek-worker	UDP
1689697197.210456	CsfYyJ3TdsGAUhtYwl	127.0.0.1	5353	224.0.0.251	5353	bad_UDP_checksum	-	F	zeek-worker-lo	UDP
1689697200.184868	CP7lez2zkEI4LJRBH1	192.168.144.138	56720	192.168.144.133	22	active_connection_reuse	-	F	zeek-worker	TCP
1689697205.671882	CV245A46RAs4yKNhG1	192.168.144.138	51110	152.199.19.160	443	active_connection_reuse	-	F	zeek-worker	TCP
1689697215.652248	C2eOzL3o8sM8ObOuTi	192.168.144.138	52424	192.168.144.138	27761	truncated_tcp_payload	-	F	zeek-worker-lo	TCP
1689697228.702527	CQd6up1zXNWxgroqo4	192.168.144.131	45242	185.125.188.58	443	bad_TCP_checksum	-	F	zeek-worker	TCP
1689697230.014729	CQd6up1zXNWxgroqo4	192.168.144.131	45242	185.125.188.58	443	truncated_tcp_payload	-	F	zeek-worker	TCP
1689697248.146542	CK4i192CTphGchMLy8	127.0.0.1	37882	127.0.0.1	5001	active_connection_reuse	-	F	zeek-worker-lo	TCP
1689697250.992021	CjM6pv2Q1gIaMghogh	192.168.144.138	53466	192.168.144.133	22	active_connection_reuse	-	F	zeek-worker	TCP
1689697251.887542	CvOAWO2nJK9YAr7bwd	192.168.144.138	53466	192.168.144.133	22	truncated_tcp_payload	-	F	zeek-worker	TCP
1689697252.806744	CTgoWU2RBSO7UcYZu4	192.168.144.138	53476	192.168.144.133	22	active_connection_reuse	-	F	zeek-worker	TCP
1689697254.555170	Cu32g63kuv4KGgz8Qd	192.168.144.138	53482	192.168.144.133	22	active_connection_reuse	-	F	zeek-worker	TCP
